cycle,transaction_namespace,transaction_id,transaction_type,transaction_type_description,filing_id,is_amendment,amount,date,contributor_name,contributor_ext_id,contributor_type,contributor_occupation,contributor_employer,contributor_gender,contributor_address,contributor_city,contributor_state,contributor_zipcode,contributor_category,organization_name,organization_ext_id,parent_organization_name,parent_organization_ext_id,recipient_name,recipient_ext_id,recipient_party,recipient_type,recipient_state,recipient_state_held,recipient_category,committee_name,committee_ext_id,committee_party,candidacy_status,district,district_held,seat,seat_held,seat_status,seat_result
2014,urn:fec:transaction,indiv:2014:4061120141214948646,15,Contribution,14960706244,FALSE,2000,3/21/14,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,X4110,Nuclear Power Plant,,,,Joe Candidate 1,N00030693,D,P,NA,WA,Z1200,,C00459099,D,FALSE,,,,,,W
2014,urn:fec:transaction,indiv:2014:4102020141226230730,15,Contribution,14978261931,FALSE,1000,8/13/14,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,G5200,Nuclear Power Plant,,,,Joe Candidate 2,N00034453,D,P,NA,WA,Z1200,,C00514893,D,FALSE,,,,,,W
2014,urn:fec:transaction,indiv:2014:4120320131199592608,15,Contribution,13941780093,FALSE,1000,9/30/13,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,C2600,Nuclear Power Plant,,,,Joe Candidate 1,N00030693,D,P,NA,WA,Z1200,,C00459099,D,FALSE,,,,,,W
2014,urn:fec:transaction,indiv:2014:4050620131188582853,15,Contribution,13961618253,FALSE,1000,3/24/13,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,X1200,Nuclear Power Plant,,,,Joe Candidate 1,N00030693,D,P,NA,WA,Z1200,,C00459099,D,FALSE,,,,,,W
2014,urn:fec:transaction,indiv:2014:4061120141214948647,15,Contribution,14960706244,FALSE,600,3/21/14,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,X4110,Nuclear Power Plant,,,,Joe Candidate 1,N00030693,D,P,NA,WA,Z1200,,C00459099,D,FALSE,,,,,,W
2014,urn:fec:transaction,indiv:2014:4111220141231180800,15e,Earmarked Contribution,14952514719,FALSE,500,8/3/14,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,X4110,Nuclear Power Plant,,,,Joe Candidate 1,N00030693,D,P,NA,WA,Z1200,,C00459099,D,FALSE,,,,,,W
2012,urn:fec:transaction,indiv:2012:4082820121161652042,15,Contribution,12952684100,FALSE,37375,7/30/12,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,G2900,Nuclear Power Plant,,,,Joe Candidate 3,C00494740,D,C,NA,,Z4200,,C00494740,D,FALSE,,,,,,
2012,urn:fec:transaction,indiv:2012:4053120121156493041,15,Contribution,12951663993,FALSE,35800,12/23/11,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,G2900,Nuclear Power Plant,,,,Joe Candidate 3,C00494740,D,C,NA,,Z4200,,C00494740,D,FALSE,,,,,,
2012,urn:fec:transaction,indiv:2012:4062520121157920179,15j,Memo (Filer's Percentage of Contribution Given to Join Fundraising Committee),,FALSE,30800,12/23/11,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,G2900,Nuclear Power Plant,,,,Joe Candidate 4,C00010603,D,C,NA,,Z5200,,C00010603,D,FALSE,,,,,,
2012,urn:fec:transaction,indiv:2012:4032220131185571966,15j,Memo (Filer's Percentage of Contribution Given to Join Fundraising Committee),,FALSE,28175,9/4/12,Jane Doe,h3001235365,I,RETIRED,RETIRED,F,123 Fake Street,Springfield,NA,,G2900,Nuclear Power Plant,,,,Joe Candidate 4,C00010603,D,C,NA,,Z5200,,C00010603,D,FALSE,,,,,,
